Memory Length4000;;;;;;;
Trigger Level0.000E+00;;;;;;;
SourceCH1;;;;;;;
Probe1X;;;;;;;
Vertical UnitsV;;;;;;;
Vertical Scale;1.00E+00;;;;;;
Vertical Position;-4.00E-02;;;;;;
Horizontal Unitss;;;;;;;
Horizontal Scale5.000E-02;;;;;;;
Horizontal Position0.000E+00;;;;;;;
Horizontal ModeRoll Mode;;;;;;;
Sampling Period;2.00E-04;;;;;;
FirmwareV1.12;;;;;;;
Time ;;Escalas de tiempo;Tiempo(s);Waveform Data Ch1;Ch1 (V);Waveform Data Ch1;Ch2 (V)
ModeFast;;;;;;;
Waveform Data;;;;;;;
25;;219;4.38E-02;1.00E+00;4.00E-02;;
25;;220;4.40E-02;1.00E+00;4.00E-02;;
25;;221;4.42E-02;1.00E+00;4.00E-02;;
25;;222;4.44E-02;1.00E+00;4.00E-02;;
25;;223;4.46E-02;1.00E+00;4.00E-02;;
25;;224;4.48E-02;1.00E+00;4.00E-02;;
26;;225;4.50E-02;1.04E+00;4.16E-02;;
25;;226;4.52E-02;1.00E+00;4.00E-02;;
25;;227;4.54E-02;1.00E+00;4.00E-02;;
25;;228;4.56E-02;1.00E+00;4.00E-02;;
25;;229;4.58E-02;1.00E+00;4.00E-02;;
25;;230;4.60E-02;1.00E+00;4.00E-02;;
26;;231;4.62E-02;1.04E+00;4.16E-02;;
26;;232;4.64E-02;1.04E+00;4.16E-02;;
26;;233;4.66E-02;1.04E+00;4.16E-02;;
25;;234;4.68E-02;1.00E+00;4.00E-02;;
26;;235;4.70E-02;1.04E+00;4.16E-02;;
25;;236;4.72E-02;1.00E+00;4.00E-02;;
26;;237;4.74E-02;1.04E+00;4.16E-02;;
26;;238;4.76E-02;1.04E+00;4.16E-02;;
26;;239;4.78E-02;1.04E+00;4.16E-02;;
26;;240;4.80E-02;1.04E+00;4.16E-02;;
26;;241;4.82E-02;1.04E+00;4.16E-02;;
26;;242;4.84E-02;1.04E+00;4.16E-02;;
25;;243;4.86E-02;1.00E+00;4.00E-02;;
25;;244;4.88E-02;1.00E+00;4.00E-02;;
25;;245;4.90E-02;1.00E+00;4.00E-02;;
25;;246;4.92E-02;1.00E+00;4.00E-02;;
26;;247;4.94E-02;1.04E+00;4.16E-02;;
26;;248;4.96E-02;1.04E+00;4.16E-02;;
26;;249;4.98E-02;1.04E+00;4.16E-02;;
26;;250;5.00E-02;1.04E+00;4.16E-02;;
26;;251;5.02E-02;1.04E+00;4.16E-02;;
26;;252;5.04E-02;1.04E+00;4.16E-02;;
25;;253;5.06E-02;1.00E+00;4.00E-02;;
26;;254;5.08E-02;1.04E+00;4.16E-02;;
25;;255;5.10E-02;1.00E+00;4.00E-02;;
26;;256;5.12E-02;1.04E+00;4.16E-02;;
25;;257;5.14E-02;1.00E+00;4.00E-02;;
26;;258;5.16E-02;1.04E+00;4.16E-02;;
25;;259;5.18E-02;1.00E+00;4.00E-02;;
